City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
114,punta arenas,90,CL,1557969147,75,-53.16,-70.91,46.4,12.75
115,veraval,0,FR,1557970265,66,49.65,0.71,48.2,6.93
116,gizo,0,IL,1557970204,82,31.8,34.94,66.99,3.36
117,chokurdakh,98,RU,1557970088,93,70.62,147.9,15.55,9.06
118,hilo,75,US,1557969997,61,19.71,-155.08,82.4,8.05
119,puerto ayora,75,EC,1557969390,83,-0.74,-90.35,78.8,13.87
120,batouri,100,CM,1557970375,98,4.44,14.36,70.06,1.79
121,lavrentiya,93,RU,1557970091,96,65.58,-170.99,30.34,10.36
122,cidreira,14,BR,1557970087,82,-30.17,-50.22,66.41,10.69
123,provideniya,75,RU,1557968400,62,64.42,-173.23,37.4,4.47
124,solnechnyy,98,RU,1557970111,72,50.72,136.64,58.4,4.59
125,ust-nera,68,RU,1557970115,56,64.57,143.24,42.22,6.67
126,bilibino,81,RU,1557970375,83,68.06,166.44,22.38,5.75
127,ocampo,35,PH,1557970375,61,13.56,123.37,90.0,6.35
128,the valley,20,AI,1557970288,78,18.22,-63.06,80.6,8.05
129,manoel urbano,47,BR,1557970376,80,-8.84,-69.26,70.08,2.26
130,khasan,91,RU,1557970376,70,42.43,130.64,65.49,7.34
131,gorontalo,36,ID,1557970376,60,0.54,123.06,88.64,7.63
132,severo-yeniseyskiy,94,RU,1557970109,89,60.37,93.04,28.51,3.94
133,san cristobal,40,EC,1557968400,87,-0.39,-78.55,59.0,5.82
134,opuwo,10,NA,1557970103,38,-18.06,13.84,66.09,2.71
135,pisco,90,PE,1557969359,88,-13.71,-76.2,66.2,5.82
136,miraflores,52,CO,1557970143,99,5.2,-73.14,55.6,1.54
137,trinidad,0,UY,1557970283,93,-33.52,-56.9,52.6,7.27
138,alcaniz,33,ES,1557969646,85,41.05,-0.13,53.01,5.08
139,nikolskoye,0,RU,1557969938,69,59.7,30.79,42.01,4.47
140,shingu,75,JP,1557968400,53,33.72,135.99,73.4,4.7
141,georgetown,75,GY,1557968400,88,6.8,-58.16,80.6,4.7
142,san quintin,82,PH,1557970149,59,17.54,120.52,85.46,2.55
143,cape town,0,ZA,1557969969,82,-33.93,18.42,61.0,9.17
144,minot,20,US,1557970111,33,48.23,-101.3,77.0,11.41
145,murgab,75,TM,1557968400,82,37.5,61.97,64.4,11.41
146,kruisfontein,81,ZA,1557970084,87,-34.0,24.73,54.82,7.25
147,tavares,86,BR,1557970372,95,-7.64,-37.88,67.79,4.81
148,pevek,56,RU,1557970128,75,69.7,170.27,18.71,2.95
149,benicarlo,63,ES,1557969646,85,40.42,0.43,53.01,4.05
150,san policarpo,42,PH,1557970377,70,12.18,125.51,87.03,8.12
151,ilulissat,60,GL,1557967800,69,69.22,-51.1,39.2,11.41
152,tuktoyaktuk,5,CA,1557964800,69,69.44,-133.03,37.4,12.75
153,flinders,40,AU,1557970028,63,-34.58,150.85,71.01,3.36
154,narsaq,23,GL,1557967800,81,60.91,-46.05,41.0,3.36
155,carnarvon,43,ZA,1557970098,37,-30.97,22.13,58.53,1.72
156,laguna,5,MX,1557967320,17,27.52,-110.01,89.6,10.29
157,kamaishi,20,JP,1557968400,68,39.28,141.86,66.2,2.24
158,yellowknife,40,CA,1557969125,44,62.45,-114.38,39.2,8.05
159,port blair,40,IN,1557968400,83,11.67,92.75,82.4,4.7
160,denizli,0,TR,1557967800,71,37.77,29.09,57.2,4.7
161,ancud,100,CL,1557968400,87,-41.87,-73.83,50.0,8.05
162,nioro,2,GM,1557970378,62,13.79,-15.05,73.14,8.93
163,victoria,75,BN,1557968400,83,5.28,115.24,86.0,3.36
164,luxemburg,1,US,1557970363,31,45.45,-94.25,73.4,3.36
165,torbay,90,CA,1557969978,100,47.66,-52.73,37.0,21.92
166,aksu,75,KZ,1557968400,38,52.04,76.93,37.4,2.24
167,isangel,75,VU,1557968400,58,-19.55,169.27,82.4,9.17
168,leshukonskoye,1,RU,1557970379,68,64.9,45.76,40.83,5.5
169,bosaso,99,SO,1557970379,69,11.28,49.18,88.19,10.96
170,ahipara,52,NZ,1557970079,72,-35.17,173.16,64.92,20.22
171,coquimbo,90,CL,1557968400,87,-29.95,-71.34,51.8,3.36
172,port lincoln,19,AU,1557970103,62,-34.72,135.86,62.85,11.83
173,mao,40,DO,1557970299,83,19.55,-71.08,80.6,4.7
174,yar-sale,31,RU,1557970379,82,66.83,70.83,26.1,12.3
175,praia da vitoria,75,PT,1557970288,93,38.73,-27.07,60.8,17.34
176,sao filipe,0,CV,1557970073,83,14.9,-24.5,72.61,14.56
177,maksatikha,0,RU,1557970380,55,57.8,35.88,41.24,7.09
178,sabzevar,0,IR,1557970380,47,36.21,57.68,58.65,6.13
179,bowen,90,AU,1557970256,78,-20.01,148.25,78.01,18.34
180,ola,64,RU,1557970134,74,59.58,151.3,40.08,8.25
181,jieshi,3,CN,1557970380,57,22.82,115.83,91.53,9.98
